date,new_deaths,new_diagnoses,new_recoveries,new_severe,new_tests
2022-01-06,1,14,15,0,387
2022-01-07,1,14,20,0,389
2022-01-08,1,14,16,1,392
2022-01-09,1,14,16,0,394
2022-01-10,1,14,12,1,397
2022-01-11,1,13,11,1,399
2022-01-12,1,14,15,1,402
2022-01-13,1,14,15,1,405
2022-01-14,1,15,8,1,407
2022-01-15,1,15,15,1,410
2022-01-16,1,16,13,0,412
2022-01-17,1,16,12,0,415
2022-01-18,1,16,14,1,417
2022-01-19,1,17,1,1,420
2022-01-20,1,17,11,1,422
2022-01-21,1,19,14,0,425
2022-01-22,1,20,15,1,415
2022-01-23,1,21,15,1,406
2022-01-24,1,22,3,1,396
2022-01-25,1,23,11,1,386
2022-01-26,1,25,12,1,377
2022-01-27,1,27,13,1,422
2022-01-28,1,31,13,0,467
2022-01-29,1,40,12,1,512
2022-01-30,1,55,4,1,556
2022-01-31,1,64,3,1,601
2022-02-01,1,71,7,1,513
2022-02-02,1,92,7,1,512
2022-02-03,1,114,24,1,702
2022-02-04,1,135,23,1,776
2022-02-05,1,156,24,1,746
2022-02-06,1,173,24,0,716
2022-02-07,0,182,29,0,687
2022-02-08,0,188,51,0,657
2022-02-09,0,204,74,0,627
2022-02-10,1,221,82,0,597
2022-02-11,1,230,84,1,568
2022-02-12,1,233,85,0,538
2022-02-13,0,237,77,1,508
2022-02-14,0,240,62,1,478
2022-02-15,1,223,81,1,448
2022-02-16,1,227,84,1,419
2022-02-17,1,215,91,0,389
2022-02-18,1,212,391,0,359
2022-02-19,1,208,304,0,329
2022-02-20,1,205,545,0,300
2022-02-21,1,195,634,1,270
2022-02-22,1,176,322,1,240
2022-02-23,1,174,266,0,259
2022-02-24,1,167,223,0,279
2022-02-25,1,162,241,1,298
2022-02-26,1,151,251,1,309
2022-02-27,1,145,203,0,317
2022-02-28,1,139,197,1,266
2022-03-01,1,123,247,0,189
2022-03-02,1,105,221,1,230
2022-03-03,1,93,111,1,230
2022-03-04,1,84,125,1,230
2022-03-05,1,76,123,1,230
2022-03-06,1,74,95,1,230
2022-03-07,1,71,96,1,230
2022-03-08,1,63,79,1,230
2022-03-09,1,58,85,1,230
2022-03-10,1,54,178,1,230
2022-03-11,1,50,146,1,230
2022-03-12,1,47,122,1,230
2022-03-13,0,40,37,0,230
2022-03-14,0,34,62,0,230
2022-03-15,0,30,36,0,230
2022-03-16,0,27,15,0,230
2022-03-17,0,26,19,0,230
2022-03-18,0,25,44,0,230
2022-03-19,0,24,41,0,230
2022-03-20,0,24,23,0,230
2022-03-21,0,23,56,0,230
2022-03-22,0,22,42,0,230
2022-03-23,0,21,33,0,230
2022-03-24,0,20,25,0,230
2022-03-25,0,19,31,0,230
2022-03-26,0,18,23,0,230
2022-03-27,0,18,24,0,230
2022-03-28,0,17,21,0,230
2022-03-29,0,16,19,0,230
2022-03-30,0,15,34,0,230
2022-03-31,0,15,15,0,230
2022-04-01,0,14,14,0,230
2022-04-02,0,13,23,0,230
2022-04-03,0,12,9,0,230
2022-04-04,0,11,13,0,230
2022-04-05,0,10,22,0,230
2022-04-06,0,9,17,0,230
2022-04-07,0,9,8,0,230
2022-04-08,0,9,26,0,230
2022-04-09,0,9,32,0,230
2022-04-10,0,8,21,0,230
2022-04-11,0,8,24,0,230
2022-04-12,0,8,20,0,230
2022-04-13,0,8,31,0,230
2022-04-14,0,8,32,0,230
2022-04-15,0,8,35,0,230
2022-04-16,0,7,34,0,230
2022-04-17,0,7,21,0,230
2022-04-18,0,7,36,0,230
2022-04-19,0,6,7,0,230
2022-04-20,0,6,5,0,230
2022-04-21,0,6,7,0,230
2022-04-22,0,6,8,0,230
2022-04-23,0,6,3,0,230
2022-04-24,0,6,7,0,230
2022-04-25,0,6,5,0,230
2022-04-26,0,5,21,0,230
2022-04-27,0,5,21,0,230
2022-04-28,0,5,23,0,230
2022-04-29,0,5,38,0,230
2022-04-30,0,5,9,0,230
2022-05-01,0,4,2,0,230
2022-05-02,0,4,4,0,230
2022-05-03,0,4,14,0,230
2022-05-04,0,4,12,0,230
2022-05-05,0,4,6,0,230
2022-05-06,0,4,4,0,230
2022-05-07,0,4,2,0,230
2022-05-08,0,3,2,0,230
2022-05-09,0,3,4,0,230
2022-05-10,0,3,4,0,230
2022-05-11,0,3,5,0,230
2022-05-12,0,3,5,0,230
2022-05-13,0,3,4,0,230
2022-05-14,0,3,4,0,230
